Campaign Name,Domain,Total Lists,Lists,Contact Count,Scheduled Date,Sender Email,Reply Email,Status,Type,Abuse,Abuse %,Clicks,Click %,Conversions,Conversions %,Delivered,Delivered %,Hard Bounce,Hard Bounce %,Opens,Open %,Queue,Queue %,Queued Total,Sent,Sent %,Soft Bounce,Soft Bounce %,Spam Complaints,Spam Complaints %,Unsubscribes,Unsubscribe %,Campaign ID
Copy (2) - Fintrans Zoom Info India Db Deliverables 04072024 Deepak Mailer 01,fintranssolutions,1,FinTrans Zoom info IND Deliverable 04072024,77,2024-07-24 11:30:59,tripti.roy@fintranssolutions.in,tripti.roy@fintranssolutions.in,Finished,Normal campaign,0,0.00,18,23.38,0,0.00,76,98.7,1,1.3,20,25.97,0,0.00,77,77,100.00,0,0.0,0,0.00,15,19.48,KauaSKw
Fintrans Mailer 325 100 Contact Mailer 2,fintranssolutions,1,India DB 100 Mailer 325,100,2024-07-02 18:30:59,tripti.roy@fintranssolutions.in,tripti.roy@fintranssolutions.in,Finished,Normal campaign,0,0.00,61,61.0,0,0.00,99,99.00,1,1.0,63,63.00,0,0.00,100,100,100.00,0,0.0,0,0.00,29,29.0,KaKZHZa
Fintrans Zoom Info Ind Deliverable 07062024 Batch 200 Deepak Mailer 01,fintranssolutions,1,FinTrans Zoom info IND Deliverable 07062024,425,2024-07-30 12:00:59,tripti.roy@fintranssolutions.in,tripti.roy@fintranssolutions.in,Finished,Normal campaign,0,0.00,84,42.0,0,0.00,200,100.00,0,0.0,85,42.50,0,0.00,200,200,100.00,0,0.0,0,0.00,27,13.5,KauuHyy
Fintrans Zoom Info Ind Deliverable 07062024 Last Batch 197 Deepak Mailer 01,fintranssolutions,1,FinTrans Zoom info IND Deliverable 07062024,398,2024-08-01 12:00:59,tripti.roy@fintranssolutions.in,tripti.roy@fintranssolutions.in,Finished,Normal campaign,0,0.00,99,50.0,0,0.00,196,98.98,2,1.01,100,50.51,0,0.00,198,198,100.00,0,0.0,0,0.00,27,13.64,KauffEa
Fintrans Zoom Info India Db Accept All 04072024 Deepak Mailer 01,fintranssolutions,1,FinTrans Zoom info IND Accept all 04072024,134,2024-07-23 15:30:59,tripti.roy@fintranssolutions.in,tripti.roy@fintranssolutions.in,Finished,Normal campaign,0,0.00,36,26.87,0,0.00,132,98.5,2,1.49,46,34.33,0,0.00,134,134,100.00,0,0.0,0,0.00,14,10.45,KaSZyyK
Gk Db Deepak Mailer 01 First 50 Contacts,fintranssolutions,1,FinTrans GK DB Admin Heads,51,2024-09-11 12:22:43,tripti.roy@fintranssolutions.in,tripti.roy@fintranssolutions.in,Finished,Normal campaign,0,0.00,0,0.0,0,0.00,51,100.00,0,0.0,23,45.10,0,0.00,51,51,100.00,0,0.0,0,0.00,10,19.61,KafwfKa
Pravin Test,fintranssolutions,1,WIZRDOM Test,10,2024-07-18 12:25:35,tripti.roy@fintranssolutions.in,tripti.roy@fintranssolutions.in,Finished,Pause campaign,0,0.00,0,0.0,0,0.00,10,100.00,0,0.0,2,20.00,0,0.00,10,10,100.00,0,0.0,0,0.00,0,0.0,KaSHSuH
Test,fintranssolutions,1,WIZRDOM Test,7,2024-09-23 15:08:08,tripti.roy@fintranssolutions.in,tripti.roy@fintranssolutions.in,Draft,Normal campaign,0,0.00,0,0,0,0.00,0,0.00,0,0,0,0.00,7,100.00,7,0,0.00,0,0,0,0.00,0,0,KawSwHE
Test,fintranssolutions,,,,2024-09-23 15:01:46,tripti.roy@fintranssolutions.in,tripti.roy@fintranssolutions.in,Draft,Normal campaign,0,0.00,0,0,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0,0.00,0,0,0,0.00,0,0,KawSwHK
Wiz Test,wizrdom,1,Default List,2,2024-02-12 18:04:04,chetan@wizrdom.com,chetan@wizrdom.com,Draft,Normal campaign,0,0.00,0,0,0,0.00,0,0.00,0,0,0,0.00,2,100.00,2,0,0.00,0,0,0,0.00,0,0,ZuKyZH
